epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,577.348,1.31935,2.57007,1.5659,1.41745,0,0.46893,0.32751,0.31875,0.15076,0.47403,0.32751,0.33045,0.15135,1.48437,3.65181,2.09071,1.47149,0,0.0014456,0.0014456,0.0014456
30,596.701,1.31114,2.56989,1.54577,1.41612,0,0.45982,0.44105,0.43053,0.23168,0.48661,0.44105,0.43424,0.21993,1.47908,4.1968,1.84702,1.42429,0,0.0014258,0.0014258,0.0014258
31,616.351,1.33031,2.61874,1.57187,1.3984,0,0.61109,0.39738,0.43243,0.22999,0.60888,0.3875,0.4109,0.19769,1.50751,4.61412,1.98327,1.45405,0,0.001406,0.001406,0.001406
32,635.915,1.27394,2.52807,1.52809,1.39623,0,0.48552,0.41485,0.42554,0.22065,0.48552,0.41485,0.42301,0.19954,1.50786,3.98617,1.93893,1.427,0,0.0013862,0.0013862,0.0013862
33,655.424,1.27847,2.52504,1.50121,1.39552,0,0.48239,0.50218,0.44475,0.23242,0.48716,0.50218,0.43965,0.22054,2.11302,4.91206,2.20013,1.6256,0,0.0013664,0.0013664,0.0013664
34,675.163,1.27294,2.47314,1.47975,1.37126,0,0.53271,0.42795,0.42885,0.2331,0.54358,0.43668,0.43332,0.22005,1.3664,4.46207,1.62386,1.3471,0,0.0013466,0.0013466,0.0013466
35,694.813,1.31843,2.59009,1.55182,1.41727,0,0.51289,0.52402,0.4721,0.24089,0.50862,0.51965,0.46643,0.22658,1.35948,4.60567,1.56889,1.33605,0,0.0013268,0.0013268,0.0013268
36,714.437,1.28001,2.46847,1.49249,1.38583,0,0.47822,0.44978,0.42315,0.21524,0.496,0.43668,0.41956,0.20647,1.71433,4.48764,1.90738,1.50922,0,0.001307,0.001307,0.001307
37,734.154,1.2624,2.4835,1.45511,1.37508,0,0.51661,0.40175,0.38568,0.21896,0.52784,0.41048,0.38115,0.19316,2.31939,3.85209,3.11928,1.73488,0,0.0012872,0.0012872,0.0012872
38,753.83,1.22322,2.38952,1.45287,1.36372,0,0.5863,0.48472,0.48654,0.24844,0.5863,0.48472,0.47189,0.23315,2.4213,4.24355,2.45617,1.7815,0,0.0012674,0.0012674,0.0012674
39,773.632,1.24177,2.47878,1.46144,1.36402,0,0.54032,0.48035,0.47199,0.24518,0.55203,0.48472,0.46752,0.2337,1.97924,4.46985,2.08003,1.71057,0,0.0012476,0.0012476,0.0012476
40,793.606,1.2759,2.4509,1.46565,1.36838,0,0.52951,0.44231,0.44783,0.25151,0.56368,0.44105,0.44888,0.23078,1.94643,5.45809,2.53175,1.58823,0,0.0012278,0.0012278,0.0012278
41,813.117,1.21173,2.37733,1.4339,1.33848,0,0.56641,0.45852,0.48325,0.26157,0.56126,0.45852,0.46811,0.24457,1.64751,4.23046,1.86506,1.52947,0,0.001208,0.001208,0.001208
42,832.97,1.2271,2.37905,1.40944,1.34937,0,0.4631,0.50655,0.43756,0.23638,0.49841,0.43668,0.43045,0.21615,1.6167,4.23621,2.13431,1.42615,0,0.0011882,0.0011882,0.0011882
43,852.574,1.24183,2.44937,1.46438,1.37048,0,0.53234,0.48472,0.47306,0.26269,0.52703,0.48035,0.45211,0.24352,1.49193,4.67586,1.77063,1.43186,0,0.0011684,0.0011684,0.0011684
44,872.563,1.24467,2.4122,1.42008,1.37673,0,0.4939,0.48908,0.44085,0.25234,0.50379,0.49782,0.43842,0.22827,1.62604,4.41305,1.89455,1.50308,0,0.0011486,0.0011486,0.0011486
45,892.541,1.22696,2.39227,1.45546,1.36066,0,0.49798,0.47598,0.45959,0.24646,0.5237,0.46725,0.45037,0.22439,1.83061,5.13201,2.16289,1.53515,0,0.0011288,0.0011288,0.0011288
46,912.1,1.19208,2.33115,1.37777,1.35073,0,0.54832,0.49782,0.49601,0.27597,0.55313,0.50218,0.48336,0.2522,2.42116,4.71012,2.68103,1.7297,0,0.001109,0.001109,0.001109
47,931.82,1.22008,2.36,1.42171,1.37069,0,0.58355,0.45892,0.46586,0.25048,0.57137,0.45415,0.45802,0.23299,1.49294,4.39743,1.85119,1.3819,0,0.0010892,0.0010892,0.0010892
48,951.659,1.19649,2.35534,1.39778,1.34799,0,0.6026,0.40611,0.47479,0.25677,0.59963,0.42358,0.46384,0.23727,1.66721,4.20292,1.99024,1.41686,0,0.0010694,0.0010694,0.0010694
49,971.125,1.17158,2.32891,1.32754,1.31524,0,0.47298,0.46725,0.43246,0.22467,0.54497,0.43668,0.42707,0.211,2.08979,4.22814,2.28978,1.58877,0,0.0010496,0.0010496,0.0010496
50,990.499,1.21519,2.34307,1.37125,1.34889,0,0.628,0.49345,0.49401,0.27391,0.65331,0.50655,0.49418,0.25974,1.57468,4.16718,1.66668,1.39236,0,0.0010298,0.0010298,0.0010298
51,1010.35,1.19266,2.35938,1.38691,1.33725,0,0.55737,0.46725,0.47848,0.25234,0.56378,0.44978,0.4625,0.24409,1.38678,4.75456,1.8793,1.35604,0,0.00101,0.00101,0.00101
52,1030.06,1.14233,2.29915,1.30569,1.32463,0,0.54857,0.46288,0.47571,0.25103,0.6018,0.42795,0.45376,0.23225,1.3805,3.98285,1.90865,1.36265,0,0.0009902,0.0009902,0.0009902
53,1049.74,1.16317,2.33084,1.35691,1.32502,0,0.53833,0.48908,0.47636,0.26451,0.5462,0.49932,0.46709,0.24627,1.39421,4.47336,1.5953,1.38337,0,0.0009704,0.0009704,0.0009704
54,1069.38,1.17442,2.32703,1.31414,1.32597,0,0.53091,0.42358,0.44925,0.24356,0.535,0.43209,0.44664,0.23289,1.61462,4.3643,1.82242,1.45727,0,0.0009506,0.0009506,0.0009506
55,1088.94,1.1615,2.31772,1.35032,1.3236,0,0.56038,0.41921,0.44354,0.23812,0.55799,0.42358,0.43851,0.22373,1.27737,4.55068,1.82935,1.29655,0,0.0009308,0.0009308,0.0009308
56,1108.37,1.14928,2.26406,1.30169,1.2988,0,0.53275,0.45807,0.45857,0.25551,0.52326,0.48035,0.45694,0.23967,1.36985,4.15656,1.68822,1.34026,0,0.000911,0.000911,0.000911
57,1128.47,1.17796,2.28434,1.31096,1.32293,0,0.57983,0.50218,0.47784,0.2685,0.57539,0.49345,0.47015,0.23984,1.40542,3.56121,1.82337,1.35571,0,0.0008912,0.0008912,0.0008912
58,1149.23,1.16342,2.26809,1.28852,1.32419,0,0.53293,0.48908,0.48727,0.2718,0.53293,0.48908,0.4848,0.25767,1.40419,4.40299,1.76311,1.34126,0,0.0008714,0.0008714,0.0008714
59,1168.74,1.10426,2.23566,1.28679,1.29213,0,0.55764,0.51092,0.49991,0.28007,0.55695,0.50503,0.48815,0.26085,1.46029,3.80888,1.66577,1.35342,0,0.0008516,0.0008516,0.0008516
60,1188.65,1.15578,2.26914,1.28345,1.30445,0,0.51812,0.54585,0.48076,0.2563,0.53753,0.51965,0.48579,0.25007,1.38581,4.56867,1.88432,1.37251,0,0.0008318,0.0008318,0.0008318
61,1208.35,1.15268,2.30913,1.2694,1.30488,0,0.49436,0.56332,0.49258,0.27583,0.50314,0.55718,0.48937,0.25894,1.33988,3.94802,1.61042,1.29905,0,0.000812,0.000812,0.000812
62,1227.9,1.12701,2.26333,1.22416,1.31025,0,0.57916,0.48908,0.47139,0.26654,0.58481,0.49345,0.46421,0.23459,1.62754,4.21336,2.10021,1.46618,0,0.0007922,0.0007922,0.0007922
63,1247.65,1.133,2.2454,1.29172,1.29481,0,0.48746,0.53991,0.47938,0.26773,0.54171,0.48472,0.47263,0.2476,1.44082,4.12554,1.68712,1.37738,0,0.0007724,0.0007724,0.0007724
64,1267.34,1.14249,2.17573,1.25976,1.29234,0,0.53703,0.48035,0.45267,0.24492,0.56785,0.46288,0.45042,0.23233,1.37252,3.49265,1.80814,1.3597,0,0.0007526,0.0007526,0.0007526
65,1286.99,1.07806,2.19918,1.22894,1.2727,0,0.52418,0.48035,0.47073,0.26152,0.55767,0.45852,0.46292,0.24726,1.37197,4.85114,1.87062,1.33899,0,0.0007328,0.0007328,0.0007328
66,1320.66,1.13918,2.2207,1.24352,1.2989,0,0.4571,0.57205,0.47622,0.26246,0.55994,0.44105,0.47086,0.2435,1.54475,4.13745,1.75102,1.41757,0,0.000713,0.000713,0.000713
67,1359.16,1.09971,2.22476,1.23272,1.28499,0,0.61491,0.44541,0.478,0.27067,0.61491,0.44541,0.4712,0.2495,1.70005,4.05198,2.13405,1.53207,0,0.0006932,0.0006932,0.0006932
68,1396.59,1.08538,2.13395,1.19104,1.26105,0,0.53908,0.48035,0.46669,0.25327,0.50588,0.48732,0.45036,0.23477,1.76201,4.57553,1.993,1.6212,0,0.0006734,0.0006734,0.0006734
69,1433.8,1.0766,2.19159,1.22301,1.26122,0,0.46304,0.46288,0.41351,0.22016,0.45962,0.48035,0.40535,0.20127,1.37914,4.12196,2.08036,1.36695,0,0.0006536,0.0006536,0.0006536
70,1470.86,1.10879,2.20133,1.21404,1.28658,0,0.64073,0.41921,0.49385,0.27183,0.62945,0.41048,0.47075,0.25071,1.30688,4.62692,1.83529,1.32196,0,0.0006338,0.0006338,0.0006338
71,1507.6,1.09219,2.15655,1.18527,1.26728,0,0.56083,0.48472,0.49563,0.28109,0.54088,0.46725,0.47273,0.25793,1.4503,3.87537,1.74558,1.33159,0,0.000614,0.000614,0.000614
72,1544.45,1.09301,2.13815,1.21533,1.27134,0,0.53906,0.50048,0.46789,0.26033,0.5539,0.49782,0.45927,0.24029,1.45062,4.5584,1.66395,1.3893,0,0.0005942,0.0005942,0.0005942
73,1581.69,1.07088,2.13399,1.18609,1.26641,0,0.58381,0.42358,0.43627,0.22474,0.57779,0.41921,0.4335,0.21431,1.42878,4.64294,1.75785,1.38835,0,0.0005744,0.0005744,0.0005744
74,1619.01,1.07781,2.1234,1.17134,1.26634,0,0.5925,0.50218,0.50497,0.28565,0.57901,0.48648,0.49612,0.26757,1.31791,3.97137,1.49534,1.32803,0,0.0005546,0.0005546,0.0005546
75,1655.9,1.04771,2.11323,1.15613,1.24285,0,0.57101,0.49345,0.47307,0.25825,0.56044,0.49345,0.46742,0.23646,1.2887,3.75727,1.47517,1.30414,0,0.0005348,0.0005348,0.0005348
76,1692.34,1.04035,2.03422,1.13801,1.23461,0,0.60492,0.51092,0.50738,0.28403,0.61226,0.51528,0.50279,0.25955,1.33986,4.19484,1.61426,1.33449,0,0.000515,0.000515,0.000515
77,1724.22,1.093,2.20649,1.17806,1.27082,0,0.64739,0.45852,0.47359,0.26417,0.67259,0.44541,0.4697,0.24528,1.42637,4.69103,1.56261,1.37436,0,0.0004952,0.0004952,0.0004952
78,1747.97,1.06048,2.17198,1.16083,1.25216,0,0.57648,0.50218,0.49659,0.27855,0.61715,0.48472,0.49407,0.25858,1.3722,5.08778,1.53767,1.34058,0,0.0004754,0.0004754,0.0004754
79,1767.41,1.03628,2.09085,1.12723,1.23921,0,0.57933,0.50655,0.49455,0.27481,0.56252,0.52402,0.49758,0.25534,1.41,3.97163,1.53915,1.3842,0,0.0004556,0.0004556,0.0004556
80,1786.99,1.03614,2.1015,1.14689,1.22754,0,0.49921,0.50218,0.46099,0.2627,0.49827,0.50218,0.46049,0.24586,1.53083,4.03421,1.64132,1.45864,0,0.0004358,0.0004358,0.0004358
81,1806.31,1.05498,2.12981,1.16249,1.2278,0,0.60858,0.48035,0.47461,0.26126,0.62233,0.44978,0.45371,0.23445,1.40624,4.41855,1.55404,1.39349,0,0.000416,0.000416,0.000416
82,1825.98,1.04282,2.10683,1.12347,1.23999,0,0.63433,0.49345,0.50938,0.28335,0.63354,0.48472,0.49136,0.26416,1.40392,4.84675,1.56968,1.38607,0,0.0003962,0.0003962,0.0003962
83,1845.53,1.03382,2.0949,1.1296,1.23847,0,0.53303,0.47353,0.44419,0.23489,0.5334,0.45415,0.4382,0.22383,1.56618,4.29933,1.66453,1.49855,0,0.0003764,0.0003764,0.0003764
84,1865.29,1.04031,2.11395,1.13011,1.22098,0,0.551,0.48231,0.45963,0.25283,0.55167,0.49436,0.45642,0.23795,1.4927,3.91233,1.55457,1.44036,0,0.0003566,0.0003566,0.0003566
85,1884.95,1.02161,2.05637,1.10124,1.23279,0,0.552,0.50655,0.47105,0.26529,0.56526,0.51101,0.4761,0.2551,1.6521,4.10544,1.6865,1.53242,0,0.0003368,0.0003368,0.0003368
