epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,729.243,1.2135,2.89902,1.79097,1.50777,0,0.40926,0.36723,0.3245,0.1529,0.40926,0.36723,0.30808,0.12435,1.67862,3.68879,2.52083,1.87644,0,0.0014456,0.0014456,0.0014456
30,754.236,1.18286,2.84552,1.75468,1.48568,0,0.33451,0.31073,0.22318,0.09712,0.33032,0.30508,0.22183,0.08473,1.69339,3.73474,2.52355,1.81254,0,0.0014258,0.0014258,0.0014258
31,779.501,1.22766,2.89939,1.76005,1.51962,0,0.29099,0.43503,0.27512,0.13541,0.28675,0.42938,0.24865,0.1001,1.72834,3.712,2.5737,1.95149,0,0.001406,0.001406,0.001406
32,804.47,1.20178,2.90447,1.80119,1.48913,0,0.34998,0.38983,0.32505,0.16263,0.32617,0.36723,0.29896,0.1275,1.69293,3.74138,2.37269,1.89434,0,0.0013862,0.0013862,0.0013862
33,830.012,1.21332,2.88074,1.77417,1.48043,0,0.37886,0.42373,0.3404,0.17811,0.36854,0.37288,0.32707,0.13968,1.69892,3.76844,2.23396,1.84026,0,0.0013664,0.0013664,0.0013664
34,855.601,1.17911,2.82608,1.74589,1.4839,0,0.3784,0.39548,0.30988,0.16974,0.39,0.40678,0.30874,0.13154,1.53191,3.53363,2.46986,1.79844,0,0.0013466,0.0013466,0.0013466
35,880.758,1.13583,2.80452,1.69223,1.47801,0,0.37062,0.34463,0.31187,0.14763,0.36995,0.33333,0.28221,0.10821,1.62495,3.67363,2.45832,1.80745,0,0.0013268,0.0013268,0.0013268
36,905.899,1.16394,2.77275,1.74083,1.49772,0,0.34909,0.44068,0.33545,0.17387,0.38586,0.37853,0.30851,0.1439,1.58698,3.45514,2.3297,1.75068,0,0.001307,0.001307,0.001307
37,931.321,1.18197,2.85691,1.78813,1.48492,0,0.43426,0.41243,0.35575,0.16747,0.41448,0.45198,0.34766,0.14387,1.63164,3.76481,2.33882,1.81975,0,0.0012872,0.0012872,0.0012872
38,956.464,1.1397,2.75187,1.70314,1.45643,0,0.37273,0.40113,0.289,0.13468,0.40277,0.41243,0.30803,0.12235,1.64749,3.64814,2.42099,1.75671,0,0.0012674,0.0012674,0.0012674
