epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,745.678,0.94942,1.75803,1.46748,0.51212,0.35989,0.37368,0.19204,1.45988,2.41577,1.72407,0.0011684,0.0011684,0.0011684
44,763.357,0.94005,1.7504,1.47898,0.41205,0.26286,0.23436,0.09975,1.70934,2.54113,1.98922,0.0011486,0.0011486,0.0011486
45,780.833,0.92281,1.72855,1.45472,0.45571,0.38754,0.37667,0.20006,1.50544,2.4022,1.84456,0.0011288,0.0011288,0.0011288
46,797.788,0.93911,1.72789,1.47453,0.40229,0.39429,0.37165,0.18481,1.57954,2.34195,1.88477,0.001109,0.001109,0.001109
47,815.203,0.94728,1.72663,1.47845,0.41715,0.34857,0.30636,0.14332,1.52668,2.45277,1.80385,0.0010892,0.0010892,0.0010892
48,832.619,0.8977,1.66266,1.44225,0.39896,0.45517,0.36174,0.17427,1.52534,2.33006,1.77048,0.0010694,0.0010694,0.0010694
49,849.812,0.90929,1.6765,1.46821,0.40731,0.41233,0.39218,0.17954,1.54103,2.46377,1.79494,0.0010496,0.0010496,0.0010496
50,867.386,0.90586,1.69921,1.45358,0.39884,0.44,0.38658,0.18451,1.5366,2.44794,1.85248,0.0010298,0.0010298,0.0010298
51,884.852,0.93199,1.66288,1.48248,0.39185,0.45143,0.38195,0.19275,1.55797,2.41551,1.78712,0.00101,0.00101,0.00101
52,902.103,0.90052,1.69336,1.45493,0.44411,0.47429,0.41099,0.20115,1.51433,2.34064,1.80897,0.0009902,0.0009902,0.0009902
53,920.215,0.8914,1.66355,1.44588,0.45732,0.42857,0.40871,0.20978,1.54388,2.39533,1.88146,0.0009704,0.0009704,0.0009704
54,937.85,0.90396,1.70989,1.45331,0.49684,0.38286,0.4139,0.21066,1.55848,2.30535,1.84413,0.0009506,0.0009506,0.0009506
55,955.11,0.88492,1.66967,1.44206,0.4301,0.42263,0.40671,0.2034,1.56634,2.34855,1.85271,0.0009308,0.0009308,0.0009308
56,973.091,0.89711,1.63912,1.43241,0.3832,0.4,0.389,0.18631,1.54285,2.38055,1.80083,0.000911,0.000911,0.000911
57,990.155,0.88667,1.65161,1.43867,0.40114,0.43429,0.35862,0.181,1.53308,2.44725,1.84122,0.0008912,0.0008912,0.0008912
58,1007.65,0.87522,1.61054,1.42952,0.36224,0.46857,0.35188,0.17255,1.56012,2.32159,1.80952,0.0008714,0.0008714,0.0008714
59,1025.01,0.86715,1.60398,1.41894,0.37076,0.45714,0.3664,0.17756,1.56484,2.4094,1.87611,0.0008516,0.0008516,0.0008516
60,1042.18,0.8716,1.60148,1.43022,0.3819,0.44486,0.39434,0.19403,1.50919,2.28167,1.7919,0.0008318,0.0008318,0.0008318
61,1059.71,0.90603,1.63261,1.44196,0.42674,0.40571,0.34355,0.17086,1.50371,2.34341,1.8123,0.000812,0.000812,0.000812
62,1076.83,0.84011,1.62477,1.39033,0.41422,0.42286,0.37895,0.17726,1.49849,2.3657,1.75505,0.0007922,0.0007922,0.0007922
63,1094.22,0.86518,1.57948,1.4283,0.37358,0.41714,0.33724,0.15773,1.54878,2.51519,1.80153,0.0007724,0.0007724,0.0007724
64,1111.51,0.85947,1.58935,1.39961,0.42472,0.44,0.38265,0.19404,1.55307,2.33144,1.78504,0.0007526,0.0007526,0.0007526
65,1129.14,0.88114,1.61599,1.43072,0.41038,0.50286,0.40187,0.20495,1.48997,2.30507,1.74175,0.0007328,0.0007328,0.0007328
66,1146.82,0.83933,1.58249,1.39998,0.39517,0.46286,0.39507,0.20801,1.54806,2.22443,1.8366,0.000713,0.000713,0.000713
67,1164.59,0.8542,1.59784,1.40867,0.32564,0.43875,0.3229,0.16836,1.55521,2.40488,1.80446,0.0006932,0.0006932,0.0006932
68,1181.83,0.83107,1.55392,1.39922,0.446,0.44622,0.40452,0.20273,1.55534,2.31086,1.86808,0.0006734,0.0006734,0.0006734
69,1198.98,0.84139,1.52518,1.40239,0.46215,0.47429,0.40213,0.18765,1.58292,2.32721,1.83555,0.0006536,0.0006536,0.0006536
70,1216.31,0.84746,1.58,1.39642,0.47965,0.37714,0.38801,0.18496,1.58531,2.29267,1.8258,0.0006338,0.0006338,0.0006338
71,1233.69,0.8367,1.53286,1.40496,0.37154,0.45714,0.33702,0.16744,1.51792,2.43829,1.80483,0.000614,0.000614,0.000614
72,1251.17,0.82553,1.51997,1.3869,0.45746,0.34286,0.31772,0.15239,1.57551,2.42154,1.81067,0.0005942,0.0005942,0.0005942
73,1268.51,0.81756,1.53222,1.37598,0.42934,0.41272,0.38608,0.19433,1.53871,2.32741,1.79415,0.0005744,0.0005744,0.0005744
74,1286.6,0.83051,1.50945,1.3935,0.41804,0.48571,0.43458,0.21503,1.56067,2.25171,1.78682,0.0005546,0.0005546,0.0005546
75,1304.15,0.84234,1.53144,1.38905,0.4064,0.38732,0.35453,0.17259,1.52701,2.34705,1.79447,0.0005348,0.0005348,0.0005348
76,1321.57,0.80932,1.52252,1.37729,0.44221,0.36,0.37674,0.18354,1.54311,2.29096,1.80303,0.000515,0.000515,0.000515
77,1339.08,0.82835,1.52329,1.39663,0.35741,0.44179,0.3641,0.16777,1.6061,2.39409,1.92338,0.0004952,0.0004952,0.0004952
78,1357.35,0.828,1.51194,1.38632,0.44612,0.41714,0.38911,0.18531,1.58563,2.34239,1.86116,0.0004754,0.0004754,0.0004754
79,1374.51,0.77685,1.48052,1.35099,0.54317,0.37714,0.41286,0.20205,1.61539,2.25708,1.87725,0.0004556,0.0004556,0.0004556
80,1392.71,0.82307,1.50342,1.38608,0.41981,0.43429,0.39684,0.19741,1.55632,2.2936,1.82961,0.0004358,0.0004358,0.0004358
81,1410.99,0.78552,1.47468,1.35836,0.42344,0.36512,0.34883,0.16247,1.58927,2.38492,1.90267,0.000416,0.000416,0.000416
