epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,578.205,1.3241,2.62213,1.65449,1.4378,0,0.55152,0.46851,0.46151,0.24994,0.57805,0.48866,0.48818,0.25392,1.50869,2.82244,1.78302,1.60666,0,0.0014456,0.0014456,0.0014456
30,597.49,1.37015,2.71035,1.61601,1.45467,0,0.5808,0.53652,0.51132,0.29729,0.63713,0.52393,0.5376,0.28657,1.39407,2.63136,1.64003,1.52952,0,0.0014258,0.0014258,0.0014258
31,616.988,1.30769,2.58535,1.60559,1.4272,0,0.5494,0.47355,0.47805,0.26346,0.55197,0.48363,0.4824,0.25435,1.44363,2.6958,1.86465,1.58955,0,0.001406,0.001406,0.001406
32,636.264,1.33325,2.6508,1.57556,1.44109,0,0.55458,0.51134,0.48955,0.26848,0.59532,0.49874,0.49741,0.25219,1.46058,2.85736,1.7694,1.59589,0,0.0013862,0.0013862,0.0013862
33,655.325,1.33092,2.6544,1.56844,1.44167,0,0.55861,0.50882,0.48312,0.26716,0.59009,0.53401,0.52409,0.26083,1.46236,2.74846,1.81429,1.60269,0,0.0013664,0.0013664,0.0013664
34,674.306,1.34025,2.6958,1.53638,1.42677,0,0.55844,0.47355,0.48348,0.27839,0.58398,0.48794,0.50194,0.26187,1.43725,2.69871,1.73735,1.55984,0,0.0013466,0.0013466,0.0013466
35,693.601,1.31076,2.53864,1.55244,1.41611,0,0.63072,0.50882,0.54622,0.31579,0.64058,0.51628,0.54465,0.28858,1.33235,2.69991,1.58338,1.48147,0,0.0013268,0.0013268,0.0013268
36,712.801,1.32333,2.55444,1.54802,1.41964,0,0.55228,0.4816,0.4603,0.24668,0.54663,0.50378,0.45623,0.22542,1.38433,2.69949,1.75213,1.57287,0,0.001307,0.001307,0.001307
37,731.829,1.27115,2.54414,1.50714,1.39483,0,0.53649,0.47859,0.4754,0.2667,0.5711,0.45615,0.47042,0.24493,1.40879,2.56288,1.72747,1.5401,0,0.0012872,0.0012872,0.0012872
38,750.804,1.28718,2.46455,1.4949,1.40974,0,0.58013,0.51889,0.50116,0.28464,0.57732,0.51637,0.51044,0.27579,1.36761,2.61723,1.65724,1.51198,0,0.0012674,0.0012674,0.0012674
39,769.86,1.33103,2.52971,1.52928,1.43591,0,0.5907,0.49118,0.49757,0.27256,0.61204,0.49622,0.51401,0.26332,1.4181,2.66796,1.69684,1.56266,0,0.0012476,0.0012476,0.0012476
40,788.856,1.29053,2.53729,1.46857,1.43436,0,0.51593,0.53693,0.48677,0.28322,0.5778,0.51637,0.50093,0.26147,1.3917,2.82256,1.67034,1.52177,0,0.0012278,0.0012278,0.0012278
41,807.784,1.24427,2.39893,1.46067,1.36223,0,0.57864,0.51637,0.52013,0.30534,0.57591,0.51889,0.52493,0.2846,1.33343,2.62791,1.66508,1.49223,0,0.001208,0.001208,0.001208
42,826.964,1.25152,2.45612,1.4685,1.38,0,0.58695,0.50126,0.48738,0.2767,0.60387,0.51134,0.50327,0.26087,1.402,2.70379,1.6948,1.51241,0,0.0011882,0.0011882,0.0011882
43,845.923,1.24522,2.48774,1.4751,1.3788,0,0.52009,0.47103,0.4386,0.23851,0.55946,0.47355,0.45387,0.23178,1.44823,2.6607,1.73149,1.53029,0,0.0011684,0.0011684,0.0011684
44,864.964,1.23686,2.40735,1.41582,1.37295,0,0.56299,0.54192,0.52633,0.30244,0.59138,0.5466,0.54424,0.28502,1.38373,2.69255,1.57156,1.51972,0,0.0011486,0.0011486,0.0011486
45,884.012,1.24832,2.41993,1.43324,1.37227,0,0.50467,0.43577,0.39455,0.21024,0.52264,0.42065,0.40028,0.19732,1.52511,3.08104,1.93755,1.6088,0,0.0011288,0.0011288,0.0011288
46,903.292,1.22497,2.41945,1.43966,1.36559,0,0.61889,0.52393,0.51502,0.29986,0.64152,0.52897,0.53589,0.28703,1.35527,2.49697,1.6082,1.47284,0,0.001109,0.001109,0.001109
47,922.33,1.21194,2.3016,1.42032,1.34574,0,0.56943,0.47971,0.46183,0.26356,0.58787,0.49224,0.47436,0.25239,1.4167,2.66178,1.71184,1.52054,0,0.0010892,0.0010892,0.0010892
48,941.196,1.214,2.43218,1.41896,1.36483,0,0.58764,0.46664,0.47361,0.27589,0.61035,0.48531,0.50049,0.2508,1.41662,2.7429,1.64303,1.48999,0,0.0010694,0.0010694,0.0010694
49,960.018,1.23221,2.43044,1.39519,1.36216,0,0.63052,0.53401,0.52876,0.30739,0.63052,0.53401,0.5273,0.28165,1.32419,2.59893,1.56599,1.45379,0,0.0010496,0.0010496,0.0010496
50,978.869,1.2456,2.43516,1.39797,1.35955,0,0.50767,0.45844,0.46204,0.26266,0.52488,0.46599,0.45988,0.23212,1.41842,2.75996,1.77336,1.566,0,0.0010298,0.0010298,0.0010298
51,997.821,1.20789,2.35952,1.36999,1.36873,0,0.6197,0.4937,0.53377,0.31287,0.60646,0.5063,0.52476,0.28359,1.34275,2.60794,1.63648,1.47849,0,0.00101,0.00101,0.00101
52,1016.83,1.19417,2.29837,1.38783,1.34632,0,0.6706,0.4937,0.50841,0.29922,0.69358,0.50126,0.52988,0.28167,1.33865,2.56986,1.63134,1.46013,0,0.0009902,0.0009902,0.0009902
53,1036.12,1.21399,2.37766,1.38522,1.3368,0,0.64567,0.50378,0.52989,0.31045,0.6517,0.51134,0.55375,0.29119,1.37274,2.57257,1.56544,1.50364,0,0.0009704,0.0009704,0.0009704
54,1054.96,1.21634,2.41084,1.40354,1.33803,0,0.59119,0.54912,0.52761,0.30849,0.61388,0.56423,0.54026,0.29351,1.35072,2.67313,1.58508,1.48987,0,0.0009506,0.0009506,0.0009506
55,1074.34,1.19811,2.38767,1.3763,1.32192,0,0.55479,0.52393,0.49476,0.2907,0.55999,0.53149,0.50263,0.26656,1.32308,2.55694,1.63107,1.4672,0,0.0009308,0.0009308,0.0009308
56,1093.26,1.21512,2.41905,1.42949,1.373,0,0.57602,0.50882,0.50906,0.30015,0.6352,0.52645,0.54031,0.28226,1.38164,2.63318,1.64645,1.50057,0,0.000911,0.000911,0.000911
57,1112.11,1.19142,2.39027,1.38,1.33972,0,0.54859,0.48866,0.48375,0.27704,0.63512,0.47355,0.5102,0.27128,1.349,2.67268,1.63203,1.48825,0,0.0008912,0.0008912,0.0008912
58,1131.01,1.17631,2.32337,1.32386,1.33077,0,0.60104,0.55668,0.53724,0.32161,0.60275,0.56423,0.55427,0.30417,1.28516,2.48412,1.56629,1.41465,0,0.0008714,0.0008714,0.0008714
59,1150.04,1.16761,2.30446,1.33767,1.32974,0,0.52449,0.52141,0.48132,0.27511,0.51623,0.53149,0.48997,0.25828,1.35302,2.58412,1.62608,1.47175,0,0.0008516,0.0008516,0.0008516
60,1168.83,1.23716,2.53675,1.3688,1.38376,0,0.53138,0.55919,0.5056,0.29419,0.59946,0.53155,0.53229,0.28193,1.38446,2.74016,1.56963,1.51804,0,0.0008318,0.0008318,0.0008318
61,1187.9,1.1374,2.19919,1.39986,1.27365,0,0.57554,0.49874,0.48367,0.27808,0.60547,0.50882,0.50044,0.26182,1.35832,2.67634,1.65129,1.48283,0,0.000812,0.000812,0.000812
62,1206.83,1.16665,2.35181,1.3238,1.32108,0,0.57723,0.48615,0.48996,0.28387,0.60269,0.48866,0.50262,0.27031,1.35996,2.60011,1.62827,1.49861,0,0.0007922,0.0007922,0.0007922
63,1226,1.14787,2.37256,1.35756,1.32027,0,0.53777,0.49874,0.48145,0.29222,0.53107,0.52645,0.49087,0.26203,1.31722,2.50668,1.62061,1.43125,0,0.0007724,0.0007724,0.0007724
64,1244.99,1.15631,2.30162,1.31528,1.30954,0,0.59561,0.51637,0.52115,0.31354,0.61503,0.53119,0.5366,0.29057,1.31254,2.56221,1.53248,1.42551,0,0.0007526,0.0007526,0.0007526
65,1264.05,1.1671,2.27855,1.27393,1.31187,0,0.57443,0.55668,0.5465,0.32029,0.64308,0.51889,0.5604,0.29844,1.32631,2.64068,1.50819,1.43948,0,0.0007328,0.0007328,0.0007328
66,1282.91,1.1064,2.22403,1.24988,1.28567,0,0.62544,0.51134,0.52984,0.30675,0.63423,0.50378,0.53711,0.29139,1.35157,2.57587,1.55393,1.47801,0,0.000713,0.000713,0.000713
67,1301.9,1.14645,2.28096,1.28374,1.29963,0,0.59232,0.51603,0.50465,0.3066,0.60849,0.53904,0.51895,0.27482,1.33551,2.65454,1.58326,1.44551,0,0.0006932,0.0006932,0.0006932
68,1320.85,1.12914,2.19972,1.26047,1.28824,0,0.61589,0.51385,0.53684,0.31799,0.62337,0.53401,0.55033,0.30476,1.32473,2.44524,1.51311,1.45658,0,0.0006734,0.0006734,0.0006734
69,1340.08,1.13717,2.24134,1.28891,1.29728,0,0.60097,0.55668,0.55321,0.33988,0.61071,0.57683,0.57184,0.31851,1.28544,2.52538,1.472,1.43137,0,0.0006536,0.0006536,0.0006536
70,1359.17,1.15073,2.20861,1.27961,1.31444,0,0.57402,0.53149,0.52384,0.30756,0.5964,0.56949,0.5506,0.2977,1.30003,2.4765,1.52428,1.43615,0,0.0006338,0.0006338,0.0006338
71,1378.18,1.11854,2.23472,1.25381,1.27859,0,0.67007,0.51158,0.54121,0.32918,0.68189,0.51637,0.55233,0.29936,1.29671,2.63477,1.5021,1.43171,0,0.000614,0.000614,0.000614
72,1397.25,1.13107,2.24762,1.25449,1.29099,0,0.56345,0.50392,0.51117,0.30374,0.59532,0.52141,0.5302,0.28343,1.33469,2.65839,1.55208,1.45645,0,0.0005942,0.0005942,0.0005942
73,1416.2,1.07571,2.14655,1.34607,1.25524,0,0.60388,0.54913,0.55038,0.32923,0.63005,0.54912,0.56608,0.30895,1.27546,2.48668,1.48536,1.42004,0,0.0005744,0.0005744,0.0005744
74,1435.43,1.08572,2.16094,1.25169,1.2712,0,0.59408,0.50126,0.50963,0.30621,0.62205,0.5063,0.52419,0.26991,1.3247,2.69111,1.59291,1.45953,0,0.0005546,0.0005546,0.0005546
75,1454.53,1.09454,2.123,1.19171,1.26769,0,0.68479,0.49874,0.52932,0.31558,0.69333,0.51889,0.54822,0.29129,1.3174,2.71601,1.50203,1.45413,0,0.0005348,0.0005348,0.0005348
76,1473.45,1.07912,2.17566,1.20802,1.26443,0,0.64257,0.53904,0.56403,0.33099,0.62984,0.55717,0.57616,0.30697,1.3288,2.5498,1.45871,1.45018,0,0.000515,0.000515,0.000515
77,1492.51,1.10376,2.22386,1.21183,1.26564,0,0.65712,0.53149,0.5577,0.33541,0.67436,0.54156,0.57434,0.30352,1.29965,2.56603,1.43227,1.42882,0,0.0004952,0.0004952,0.0004952
78,1511.73,1.06988,2.15937,1.1747,1.2564,0,0.64584,0.51134,0.5351,0.31495,0.63289,0.54156,0.55144,0.28582,1.30882,2.62601,1.46877,1.42656,0,0.0004754,0.0004754,0.0004754
79,1530.59,1.11516,2.1732,1.18805,1.26923,0,0.65716,0.51385,0.53959,0.3244,0.69686,0.51385,0.55166,0.29457,1.29541,2.66788,1.47174,1.44759,0,0.0004556,0.0004556,0.0004556
80,1549.76,1.09853,2.14787,1.16424,1.27614,0,0.54999,0.61209,0.56911,0.3436,0.59612,0.5837,0.59419,0.32582,1.30905,2.56987,1.40719,1.44063,0,0.0004358,0.0004358,0.0004358
81,1568.86,1.10349,2.12318,1.24374,1.28192,0,0.57859,0.57411,0.54363,0.33309,0.59992,0.59194,0.57592,0.31437,1.28457,2.5421,1.47192,1.41959,0,0.000416,0.000416,0.000416
82,1587.79,1.04887,2.08585,1.1225,1.24008,0,0.58806,0.53938,0.51766,0.31729,0.64775,0.54408,0.55762,0.30111,1.3236,2.70834,1.47269,1.46101,0,0.0003962,0.0003962,0.0003962
83,1606.87,1.11105,2.18642,1.24044,1.27257,0,0.60625,0.54912,0.54113,0.33615,0.64222,0.56171,0.55851,0.30344,1.28955,2.50788,1.44972,1.43193,0,0.0003764,0.0003764,0.0003764
84,1625.62,1.07032,2.13184,1.17406,1.26404,0,0.6414,0.51362,0.53684,0.32654,0.6322,0.56287,0.55734,0.30672,1.28757,2.52089,1.4806,1.43461,0,0.0003566,0.0003566,0.0003566
85,1644.57,1.08615,2.14913,1.20681,1.25286,0,0.64575,0.51889,0.5492,0.33029,0.64891,0.53904,0.5617,0.30714,1.30277,2.53005,1.45657,1.4575,0,0.0003368,0.0003368,0.0003368
86,1663.59,1.01929,2.01358,1.11307,1.23166,0,0.64781,0.52141,0.55425,0.33206,0.65524,0.54576,0.57038,0.30846,1.3097,2.56475,1.41729,1.47584,0,0.000317,0.000317,0.000317
87,1682.81,1.03603,2.08601,1.10887,1.24389,0,0.60908,0.56906,0.54791,0.32552,0.61447,0.5741,0.56346,0.30366,1.31131,2.57961,1.43478,1.45364,0,0.0002972,0.0002972,0.0002972
88,1701.64,1.05749,2.0437,1.29311,1.22257,0,0.62156,0.54912,0.54584,0.3178,0.63338,0.56138,0.56283,0.30092,1.35495,2.66134,1.493,1.48966,0,0.0002774,0.0002774,0.0002774
89,1720.5,1.07858,2.1349,1.16523,1.26615,0,0.61762,0.56423,0.54432,0.3324,0.63567,0.56171,0.56037,0.30377,1.2945,2.613,1.48128,1.43884,0,0.0002576,0.0002576,0.0002576
90,1739.33,1.04808,2.11358,1.1204,1.23774,0,0.6416,0.56927,0.56792,0.34482,0.66858,0.58942,0.5821,0.31534,1.29149,2.57573,1.42935,1.43018,0,0.0002378,0.0002378,0.0002378
91,1758.24,1.11883,2.29048,1.26676,1.37855,0,0.65942,0.52141,0.55452,0.33544,0.65499,0.56423,0.57225,0.30754,1.3095,2.5623,1.48941,1.44953,0,0.000218,0.000218,0.000218
92,1775.09,0.98882,1.99814,1.12167,1.28426,0,0.6263,0.57179,0.55231,0.33306,0.65358,0.57683,0.57212,0.30526,1.29414,2.55307,1.44622,1.43941,0,0.0001982,0.0001982,0.0001982
93,1791.64,1.02186,1.98349,1.14372,1.29629,0,0.64087,0.54408,0.5457,0.32074,0.65867,0.55919,0.55801,0.29399,1.34759,2.73726,1.4614,1.48066,0,0.0001784,0.0001784,0.0001784
94,1808.25,0.98565,1.93674,1.07002,1.27021,0,0.60812,0.55919,0.54701,0.33014,0.62965,0.56529,0.56131,0.30176,1.30085,2.61194,1.47984,1.43824,0,0.0001586,0.0001586,0.0001586
95,1824.69,1.00207,1.93221,1.08433,1.27441,0,0.63814,0.56415,0.56512,0.34733,0.70142,0.56171,0.58977,0.32031,1.28961,2.56758,1.42961,1.42851,0,0.0001388,0.0001388,0.0001388
96,1841.08,0.97228,1.94333,1.09793,1.26817,0,0.6315,0.56117,0.56234,0.34523,0.69391,0.54156,0.57793,0.31789,1.28878,2.58268,1.42498,1.43673,0,0.000119,0.000119,0.000119
97,1857.68,1.0097,1.92301,1.09313,1.29344,0,0.65767,0.53149,0.55089,0.33466,0.67949,0.54912,0.57268,0.31226,1.31205,2.59249,1.44327,1.45904,0,9.92e-05,9.92e-05,9.92e-05
98,1874.24,0.95468,1.89138,1.05298,1.24857,0,0.60124,0.56171,0.54493,0.32671,0.66297,0.53514,0.56089,0.30753,1.31419,2.60164,1.45548,1.46583,0,7.94e-05,7.94e-05,7.94e-05
99,1890.61,0.98262,1.93422,1.05134,1.28015,0,0.62,0.55164,0.55282,0.33343,0.69257,0.52393,0.57282,0.31254,1.30776,2.59887,1.44873,1.45482,0,5.96e-05,5.96e-05,5.96e-05
100,1907.03,0.95475,1.87915,1.01978,1.24455,0,0.64633,0.56171,0.56047,0.33806,0.67402,0.54166,0.57538,0.31398,1.31111,2.60968,1.44066,1.45636,0,3.98e-05,3.98e-05,3.98e-05
